SNo,Year,All-Star,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23517,2016,0,Quincy Acy,PF,25,SAC,59,29,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,,1.8,0.7,2.5,0.137,,0.2,0,0.2,0.5,119,214,0.556,19,49,0.388,100,165,0.606,0.6,50,68,0.735,65,123,188,27,29,24,27,103,307
23518,2016,0,Jordan Adams,SG,21,MEM,2,0,15,17.3,0.427,0.167,0.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,,0,0,0,0.015,,-2.9,4.8,1.9,0,2,6,0.333,0,1,0,2,5,0.4,0.333,3,5,0.6,0,2,2,3,3,0,2,2,7
23519,2016,0,Steven Adams,C,22,OKC,80,80,2014,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,,4.2,2.3,6.5,0.155,,0.8,1.3,2.1,2.1,261,426,0.613,0,0,,261,426,0.613,0.613,114,196,0.582,219,314,533,62,42,89,84,223,636
23520,2016,0,Arron Afflalo,SG,30,NYK,71,57,2371,10.9,0.531,0.298,0.164,1.1,11,6.1,9.9,0.5,0.3,8.7,17.9,,1.8,0.9,2.7,0.055,,-0.6,-1.8,-2.4,-0.2,354,799,0.443,91,238,0.382,263,561,0.469,0.5,110,131,0.84,23,243,266,144,25,10,82,142,909
23521,2016,0,Alexis Ajinca,C,27,NOP,59,17,861,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,,0.2,0.9,1,0.058,,-4.3,-0.2,-4.5,-0.5,150,315,0.476,0,1,0,150,314,0.478,0.476,52,62,0.839,75,194,269,31,19,36,54,134,352
23522,2016,0,Cole Aldrich,C,27,LAC,60,5,800,21.3,0.626,0,0.373,11.9,27.1,19.6,10,2.9,6.7,19.6,18.4,,1.4,2,3.5,0.209,,-1,5.8,4.8,1.4,134,225,0.596,0,0,,134,225,0.596,0.596,60,84,0.714,86,202,288,50,47,68,64,139,328
23523,2016,1,LaMarcus Aldridge,PF,30,SAS,74,74,2261,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,,5.6,4.5,10.1,0.215,,0.7,1.1,1.8,2.2,536,1045,0.513,0,16,0,536,1029,0.521,0.513,259,302,0.858,176,456,632,110,38,81,99,151,1331
23524,2016,0,Cliff Alexander,PF,20,POR,8,0,36,11.6,0.5,0,0,6,12.1,9,0,1.4,4.4,9.1,13.3,,0,0,0,0.052,,-5.7,-1.3,-7,0,5,10,0.5,0,0,,5,10,0.5,0.5,0,0,,2,4,6,0,1,2,1,1,10
23525,2016,0,Lavoy Allen,PF,26,IND,79,28,1599,12.4,0.532,0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13,,1.6,2.1,3.7,0.11,,-2.1,1.4,-0.6,0.6,191,370,0.516,0,0,,191,370,0.516,0.516,46,73,0.63,162,262,424,76,26,42,69,147,428
23526,2016,0,Tony Allen,SG,34,MEM,64,57,1620,12.9,0.505,0.09,0.294,7,14.1,10.4,6.9,3.5,1,12.8,16.8,,0.5,1.9,2.4,0.072,,-1.5,1.4,-0.1,0.8,215,469,0.458,15,42,0.357,200,427,0.468,0.474,90,138,0.652,104,192,296,70,110,18,78,175,535
23527,2016,0,Al-Farouq Aminu,SF,25,POR,82,82,2341,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,,1.7,2.3,4,0.082,,-0.4,0.7,0.2,1.3,299,719,0.416,126,349,0.361,173,370,0.468,0.503,115,156,0.737,98,401,499,138,72,53,120,171,839
23528,2016,0,Lou Amundson,PF,33,NYK,29,0,204,6.7,0.401,0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,,-0.3,0.2,-0.1,-0.014,,-5.3,0.4,-5,-0.2,19,53,0.358,0,0,,19,53,0.358,0.358,14,27,0.519,23,26,49,12,6,7,15,44,52
23529,2016,0,Chris Andersen,C,37,TOT,27,15,402,15.3,0.598,0.194,0.5,9.9,18.2,13.9,4.4,1.9,2.9,9.3,10.8,,0.8,0.4,1.3,0.149,,-0.3,1.1,0.8,0.3,38,72,0.528,4,14,0.286,34,58,0.586,0.556,25,36,0.694,36,62,98,12,15,13,9,29,105
23530,2016,0,Chris Andersen,C,37,MIA,7,1,36,17.6,0.553,0.5,0.4,9.8,18.3,14.2,12.2,1.4,6.4,14.5,17.5,,0.1,0.1,0.1,0.165,,0.4,2.6,3,0,4,10,0.4,2,5,0.4,2,5,0.4,0.5,3,4,0.75,3,6,9,3,1,3,2,4,13
23531,2016,0,Chris Andersen,C,37,MEM,20,14,366,15.1,0.605,0.145,0.516,9.9,18.2,13.9,3.7,2,2.5,8.4,10.2,,0.7,0.4,1.1,0.148,,-0.4,0.9,0.6,0.2,34,62,0.548,2,9,0.222,32,53,0.604,0.565,22,32,0.688,33,56,89,9,14,10,7,25,92
23532,2016,0,Alan Anderson,SG,33,WAS,13,0,192,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1,0.4,3,15.4,,0.2,0.2,0.3,0.078,,-1.2,-1.7,-2.8,0,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65
23533,2016,0,James Anderson,SG,26,SAC,51,15,721,6,0.469,0.483,0.163,2,10.9,6.5,7.7,1.4,1.6,18,13.7,,-0.6,0.4,-0.3,-0.017,,-3.9,-0.3,-4.2,-0.4,67,178,0.376,23,86,0.267,44,92,0.478,0.441,22,29,0.759,13,73,86,41,21,14,42,54,179
23534,2016,0,Justin Anderson,SF,22,DAL,55,9,647,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,,0.3,0.8,1.1,0.083,,-2.5,1.3,-1.2,0.1,71,175,0.406,22,83,0.265,49,92,0.533,0.469,44,55,0.8,18,114,132,29,19,25,24,45,208
23535,2016,0,Kyle Anderson,SF,22,SAS,78,11,1245,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,,0.7,2.8,3.5,0.133,,-1.9,3.7,1.8,1.2,138,295,0.468,12,37,0.324,126,258,0.488,0.488,62,83,0.747,25,219,244,123,60,29,59,97,350
23536,2016,0,Ryan Anderson,PF,27,NOP,66,7,2008,17.2,0.546,0.385,0.245,7,15.2,10.9,6.1,0.9,1,8,24.7,,3.1,0.8,3.9,0.092,,1.5,-2.9,-1.4,0.3,397,929,0.427,131,358,0.366,266,571,0.466,0.498,199,228,0.873,131,265,396,73,38,25,90,109,1124
23537,2016,0,Giannis Antetokounmpo,PG,21,MIL,80,79,2823,18.8,0.566,0.108,0.404,4.6,20,12.4,20,1.7,3.4,14.8,22.3,,4.2,2.9,7.1,0.121,,1,1.5,2.4,3.2,513,1013,0.506,28,109,0.257,485,904,0.537,0.52,296,409,0.724,113,499,612,345,94,113,208,258,1350
23538,2016,0,Thanasis Antetokounmpo,SF,23,NYK,2,0,6,32.9,0.75,0.25,0,0,17.9,9.1,0,0,0,0,30.2,,0,0,0,0.291,,6.3,-10.5,-4.1,0,3,4,0.75,0,1,0,3,3,1,0.75,0,0,,0,1,1,0,0,0,0,2,6
23539,2016,1,Carmelo Anthony,SF,31,NYK,72,72,2530,20.3,0.53,0.237,0.308,4.3,19.5,12,21.9,1.3,1.1,10.6,29.7,,3.9,2.5,6.4,0.121,,2.8,-0.2,2.6,2.9,567,1307,0.434,105,310,0.339,462,997,0.463,0.474,334,403,0.829,98,458,556,299,62,38,176,180,1573
23540,2016,0,Joel Anthony,C,33,DET,19,0,96,14.1,0.666,0,0.8,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7,,0.2,0.2,0.4,0.177,,-2.8,5,2.2,0.1,6,10,0.6,0,0,,6,10,0.6,0.6,6,8,0.75,8,13,21,1,2,12,2,15,18
23541,2016,0,Keith Appling,PG,23,ORL,5,0,27,-4.8,0.338,0.375,0.25,0,4.2,2.1,5,1.9,0,25.3,19.5,,-0.1,0,-0.1,-0.199,,-10.3,-2.7,-13,-0.1,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,0,1,1,1,1,0,3,5,6
23542,2016,0,Trevor Ariza,SF,30,HOU,81,81,2859,12.9,0.551,0.581,0.187,2.6,11.6,7.1,10,2.8,0.8,10.8,15.7,,3.1,2.3,5.4,0.09,,1.2,0.3,1.5,2.5,357,859,0.416,185,499,0.371,172,360,0.478,0.523,126,161,0.783,67,299,366,188,160,26,113,177,1025
23543,2016,0,Darrell Arthur,PF,27,DEN,70,16,1516,12.5,0.514,0.239,0.108,6.2,15.4,10.7,10,1.8,2.6,11.4,16.7,,1,1.3,2.3,0.072,,-1.2,0.8,-0.3,0.6,221,489,0.452,45,117,0.385,176,372,0.473,0.498,40,53,0.755,86,207,293,96,53,48,66,185,527
23544,2016,0,Omer Asik,C,29,NOP,68,64,1178,11,0.551,0,0.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,,0.7,1,1.7,0.07,,-4,-0.2,-4.2,-0.7,104,195,0.533,0,0,,104,195,0.533,0.533,61,112,0.545,120,294,414,26,21,23,60,124,269
23545,2016,0,D.J. Augustin,PG,28,TOT,62,0,1178,13.9,0.575,0.48,0.366,0.8,8,4.4,25.3,1.6,0.3,17.1,18,,2,0.6,2.6,0.106,,1,-2.7,-1.7,0.1,148,350,0.423,68,168,0.405,80,182,0.44,0.52,103,128,0.805,8,87,95,198,38,4,84,85,467
23546,2016,0,D.J. Augustin,PG,28,OKC,34,0,519,8.7,0.522,0.504,0.281,1.1,7.6,4.5,16.7,1.2,0.3,18.1,13.6,,0.4,0.3,0.7,0.065,,-1.4,-1.9,-3.3,-0.2,46,121,0.38,24,61,0.393,22,60,0.367,0.479,26,34,0.765,5,38,43,66,13,2,30,41,142
23547,2016,0,D.J. Augustin,PG,28,DEN,28,0,659,18,0.601,0.467,0.41,0.5,8.4,4.4,32,1.9,0.2,16.6,21.5,,1.6,0.3,1.9,0.139,,2.8,-3.3,-0.5,0.3,102,229,0.445,44,107,0.411,58,122,0.475,0.541,77,94,0.819,3,49,52,132,25,2,54,44,325
23548,2016,0,Jeff Ayres,C,28,LAC,17,0,107,8.3,0.585,0.043,0.261,4.1,18.1,11.2,6.9,0,2.2,19,13.4,,0.1,0.1,0.2,0.077,,-4.7,0.1,-4.6,-0.1,12,23,0.522,0,1,0,12,22,0.545,0.522,6,6,1,4,18,22,5,0,3,6,18,30
23549,2016,0,Luke Babbitt,SF,26,NOP,47,13,845,11.6,0.526,0.377,0.173,3.2,16.7,9.7,9.6,0.6,0.7,6.9,17.5,,0.8,0.3,1.1,0.064,,-0.9,-2,-2.9,-0.2,122,289,0.422,44,109,0.404,78,180,0.433,0.498,39,50,0.78,25,123,148,53,11,7,23,90,327
23550,2016,0,Cameron Bairstow,C,25,CHI,18,2,103,6.8,0.391,0.125,0.2,4.2,24,14.3,8.7,1,2.1,8.4,20.3,,-0.1,0.1,0,-0.004,,-6.9,-0.8,-7.7,-0.1,13,40,0.325,1,5,0.2,12,35,0.343,0.338,7,8,0.875,4,24,28,6,2,3,4,19,34
23551,2016,0,Leandro Barbosa,SG,33,GSW,68,0,1079,11.7,0.545,0.297,0.168,3,8.4,5.8,10.6,2,0.7,11.8,18.1,,0.9,1.2,2.1,0.092,,-1.2,-0.9,-2.1,0,171,370,0.462,39,110,0.355,132,260,0.508,0.515,52,62,0.839,28,89,117,82,44,10,53,107,433
23552,2016,0,J.J. Barea,PG,31,DAL,74,16,1667,15.4,0.536,0.366,0.135,1.7,8.3,5,31.5,0.8,0.1,13,23.8,,2.1,0.7,2.8,0.082,,1.6,-2.8,-1.2,0.3,317,711,0.446,100,260,0.385,217,451,0.481,0.516,74,96,0.771,26,126,152,302,26,2,113,110,808
23553,2016,0,Andrea Bargnani,C,30,BRK,46,0,634,11.8,0.5,0.057,0.204,4.9,12.4,8.6,4.8,0.3,1.1,7.9,23.2,,0.1,0,0.2,0.013,,-3.7,-4.2,-7.9,-0.9,127,279,0.455,3,16,0.188,124,263,0.471,0.461,47,57,0.825,28,69,97,18,4,9,26,61,304
23554,2016,0,Harrison Barnes,SF,23,GSW,66,59,2042,12.3,0.559,0.338,0.212,4.3,12.4,8.6,7.8,1,0.4,7.6,15.9,,3.1,1.9,4.9,0.116,,0.4,-0.6,-0.2,0.9,295,633,0.466,82,214,0.383,213,419,0.508,0.531,102,134,0.761,77,248,325,117,41,10,57,136,774
